Product Name,Final Price
Keells Tea Bun 2S,Rs 155.00
Keells Cream Bun 2S,Rs 175.00
Keells Multigrain Bread 200g,Rs 300.00
Top Crust Bread 450g,Rs 139.00
Keells Sandwich Bread 750g,Rs 380.00
Keells Sandwich Bread 450g,Rs 280.00
Keells Hamburger Buns 2S,Rs 200.00
Keells Dinner Bun 4S,Rs 180.00
Keells Hot Dog Bun 2S,Rs 200.00
Keells Kurakkan Bread 200g,Rs 200.00
Cheese And Onion Bread,Rs 385.00
Keells Kurakkan Bread 400g,Rs 350.00
Roast Bread,Rs 125.00
French Bread,Rs 295.00
Kisses Large Pack,Rs 340.00
Marshmallow Pack,Rs 275.00
Keells Bread Crumbs 400g,Rs 390.00
Tea Cake,Rs 770.00
Date Cake,"Rs 1,020.00"
Chocolate Fruit & Nut Cake,"Rs 1,155.00"
Assorted Cookies Pack 6S,Rs 250.00
Jujubes Pack,Rs 285.00
Damn Fine Primium House Blend (Cofee)1kg,"Rs 5,880.00"
Doughnut - Cashew <(>&<)> Chocolate Topping,Rs 180.00
Bakery Sweet Item 1,Rs 155.00
Chelsea Bun,Rs 265.00
Bread Sticks Pack,Rs 155.00
Dark Chocolate Muffin,Rs 295.00
Fruit & Nut Cookies 5S,Rs 370.00
