Product Name,Final Price,Original Price,Discount
Newdale Set Yoghurt Plain 80g,Rs 63.00 / Unit,Rs 70.00,10%
Newdale Set Yoghurt Strawberry 80g,Rs 72.00 / Unit,Rs 80.00,10%
Highland Yoghurt Set Plain 80g,Rs 70.00,,
Ambewela Set Yoghurt Multipack 6S 480g,Rs 400.00,,
Kotmale Drinking Yoghurt Woodapple 180Ml,Rs 127.00 / Unit,Rs 150.00,15%
Anchor Drinking Yoghurt Mango Passion 180ml,Rs 144.00 / Unit,Rs 160.00,10%
Anchor Drinking Yoghurt Vanilla 180ml,Rs 144.00 / Unit,Rs 160.00,10%
Kotmale Drinking Yoghurt Strawberry 180Ml,Rs 150.00,,
Chello Basil Seed Drinking Yoghurt Mango 180Ml,Rs 127.00 / Unit,Rs 150.00,15%
Anchor Stirred Yoghurt Mixed Berry 100g,Rs 180.00,,
Anchor Drinking Yoghurt Strawberry 180ml,Rs 160.00,,
Richlife Cheese Wedges Regular 8S 120g,Rs 532.00 / Unit,Rs 560.00,5%
Highland Curd Plastic Tub Plain 510g,Rs 360.00,,
Anchor Stirred Yoghurt Plain 100g,Rs 130.00,,
Keells Set Yoghurt Plain 80g,Rs 63.00,,
Anchor Drinking Yoghurt Mixed Berry 180ml,Rs 160.00,,
Cic Creamoo Dairy Dessert Strawberry 70G,Rs 70.00,,
Lurpak Butter Salted 100g,Rs 657.00 / Unit,Rs 730.00,10%
Meadowlea Fat Spread Tub 500g,Rs 980.00,,
Happy Cow Cheese Portion Low Fat 140g,"Rs 1,290.00",,
Kotmale Stirred Yoghurt Vanilla 80g,Rs 140.00,,
Chello Basil Seed Drinking Yoghurt Vanilla 180Ml,Rs 127.00 / Unit,Rs 150.00,15%
Kandos Chocolate Biscuit Pudding 400g,Rs 850.00,,
Richlife Drinking Yoghurt Classic 180ml,Rs 150.00,,
Kotmale Yoghurt Multi Pack 6S 480g,Rs 350.00,,
Newdale Milk Shake Vanilla 180ml,Rs 250.00,,
Kotmale Drinking Yoghurt Vanilla 180Ml,Rs 127.00 / Unit,Rs 150.00,15%
Anchor Butter Salted 227g,"Rs 1,300.00",,
Anchor Butter Unsalted 227g,"Rs 1,300.00",,
Astra Fat Spread Tub 250g,Rs 446.00 / Unit,Rs 525.00,15%
Anchor Cheese Slices 12S 200g,"Rs 1,730.00",,
Kotmale Stirred Yoghurt Mixed Berry 80G,Rs 127.00 / Unit,Rs 150.00,15%
Ambewela Butter Salted 200g,Rs 935.00 / Unit,"Rs 1,100.00",15%
Anchor Butter Salted 100g,Rs 675.00,,
Flora Fat Spread Tub 250g,Rs 731.00 / Unit,Rs 860.00,15%
Meadowlea Fat Spread Tub 250g,Rs 525.00,,
