Product Name,Price
Linna,"Rs 1,000.00"
Sudaya,Rs 680.00
Thalapath Small,"Rs 2,590.00"
Prawns Medium,"Rs 1,980.00"
Tuna Fish,"Rs 1,850.00"
Paraw Small,"Rs 2,090.00"
Un Cleaned Cuttlefish,"Rs 1,650.00"
Cleaned Handella,"Rs 3,490.00"
Sea Chicken,Rs 650.00
Hendella,"Rs 2,130.00"
Seer Fish Slices,"Rs 5,750.00"
Lena Paraw,"Rs 1,090.00"
Cleaned Cuttlefish,"Rs 2,490.00"
Alagoduwa,"Rs 1,250.00"
Thalapath Koppara,"Rs 2,890.00"
Thilapiya Fish,Rs 880.00
Bollu,"Rs 1,690.00"
Hurulla,"Rs 1,740.00"
Karalla,Rs 900.00
Kumbalawa,"Rs 1,690.00"
Cleaned Shrimp Medium,"Rs 4,890.01"
Paraw Fish Slices,"Rs 2,790.00"
Prawns Jumbo,"Rs 2,550.00"
Sudha,"Rs 1,880.00"
White Mullet,"Rs 1,350.00"
Tuna Premium,"Rs 3,490.00"
Sea Crab Large,"Rs 2,750.00"
Seer Fish Head,"Rs 1,990.00"
Paraw Fish Head,"Rs 1,380.00"
Octopus,"Rs 1,690.00"
