Product Name,Price
Coconut,Rs 190.00
Big Onions,Rs 160.00
Potatoes,Rs 350.00
Pumpkin,Rs 90.00
Tomatoes,Rs 320.00
Carrot,Rs 760.00
Green Beans,Rs 790.00
Cabbage,Rs 420.00
Brinjals,Rs 530.00
Garlic,Rs 990.00
Beetroot,Rs 340.00
Snake Gourd,Rs 220.00
Leeks,Rs 390.00
Plantain Flower,Rs 130.00
Red Onions,Rs 480.00
Lime,Rs 470.00
Ladies Fingers,Rs 120.00
Green Chilies,Rs 990.00
Ash Plantains,Rs 100.00
Bitter Gourd,Rs 590.00
Ribbed Gourd,Rs 140.00
Thalana Batu,Rs 520.00
Cucumber,Rs 100.00
Capsicum,Rs 780.00
White Wave Tofu( Bean Curd )250g,Rs 250.00
Kekiri,Rs 140.00
Cauliflower,"Rs 1,170.00"
Three Star Gotukola Pkt 100g,Rs 150.00
Thammitage Cooking Cashew 200g,"Rs 1,490.00"
Organic Mukunuwenna,Rs 125.00
Ginger,"Rs 3,020.00"
Pre-Packed Potatoes,Rs 370.00
Knol Khol,Rs 220.00
Green Cucumber,Rs 680.00
Lemon,Rs 380.00
Raddish,Rs 280.00
Ambarella,Rs 620.00
Jagro Fresh Rosemary (25G),Rs 200.00
Organic Kankun,Rs 130.00
Zucchini,"Rs 1,620.00"
Chow Chow,Rs 600.00
Bell Pepper Red,"Rs 1,500.00"
Onion Leaves,Rs 560.00
Pre-Packed Red Onions,Rs 500.00
Pre-Packed Garlic,"Rs 1,010.00"
Jagro Rocket Lettuce 50g,Rs 157.50
Batana,Rs 860.00
Jagro Fresh Mint (25G),Rs 200.00
Jagro Corriander (25G),Rs 200.00
Manioc,Rs 280.00
Rosemary 25g,Rs 60.00
Dill Leaves 25g,Rs 70.00
Honest Green Frilly Iceberg 225g,Rs 785.00
Celery,"Rs 2,610.00"
Korean (Long) Raddish,Rs 720.00
Parsley,"Rs 2,370.00"
Bell Pepper Green,"Rs 1,300.00"
Bell Pepper Yellow,"Rs 1,500.00"
Jagro Bell Pepper Assorted,"Rs 2,750.00"
Yellow Zucchini,"Rs 2,430.00"
Chinese Cabbage,Rs 660.00
Organic Potato,Rs 780.00
Japanese Leeks,Rs 780.00
Thumba Karawila,"Rs 1,200.00"
Onion Flowers,Rs 950.00
Lotus Yam,"Rs 1,110.00"
Lemon Grass,Rs 720.00
Mango Curry,Rs 540.00
Organic Green Beans,"Rs 1,500.00"
Pakchoi,Rs 480.00
Salad Leaves,Rs 800.00
Red Cabbage,"Rs 4,140.00"
Green House Tomatoes,Rs 950.00
Broccoli,"Rs 4,620.00"
Cherry Tomato,"Rs 2,700.00"
Jagro Green Batavia Lettuce,"Rs 1,780.00"
Jagro Green Oak Lettuce,"Rs 1,780.00"
Coriander Leaves,"Rs 2,040.00"
Minchi Leaves,"Rs 1,170.00"
Organic Green Chilies,"Rs 1,290.00"
Tib Batu,Rs 520.00
