Product Name,Price
Eh I/C Vanilla Tubs 80ml,Rs 80.00
Eh I/C Pani Cadju Tub 80ml,Rs 100.00
Crescent Cheesy Pasta 200g,Rs 552.00 / Unit
Alerics Ice Choc 75ml,Rs 150.00
Magic Caramel Bar 50Ml,Rs 150.00
Eh I/C Faluda Vanilla 2Bar 60ml,Rs 50.00
Krest Chicken Sausages Skinless 250g,Rs 650.00
Magic Ice Cream Choc Vanilla 75ml,Rs 100.00
Eh I/C Chocolate 1L,Rs 600.00
Eh I/C Vanilla 1L,Rs 550.00
Krest Chicken Meatball Kirata Mirisata 200G,Rs 600.00
Keells Green Peas 100g,Rs 161.00
Finagle Garlic Bread 220g,Rs 477.00 / Unit
Elephant House Big Chicken Sausages 300g,Rs 820.00
Crescent Chicken Lasagna 300g,Rs 690.00
Pizza Oven Chocolate Croissants 6S 240g,Rs 750.00
Krest Chunky Chicken Sausages 500g,"Rs 1,120.00 / Unit"
Bairaha Chicken Cheese Nuggets 240g,Rs 480.00 / Unit
Imorich I/C Blubry Cheesecake Cone 120ml,Rs 180.00
Bairaha Marinated Chicken Spicy Thighs 500G,Rs 977.00 / Unit
Crescent Battered Mushroom 300g,Rs 885.00
Elephant House Pawkies 500g,"Rs 2,640.00"
Crescent Beef Sausages 250g,Rs 920.00
Crescent Chicken Mini Kieves 500g,"Rs 1,550.00"
Eh I/C Major Pop Multi Pack 20S 600ml,Rs 400.00
Imorich I/C Cone Multipack 480ml,Rs 720.00
Eh I/C Wonder Bar Vanilla 70ml,Rs 100.00
Eh I/C Necto 60ml,Rs 40.00
Pizza Oven Sesame Bagels 5Sã‚Â 370G,Rs 690.00
Lili Cheese Mozzarella Shredded 200g,"Rs 1,422.00"
Krest Chicken Sausage Spicy Bites 200g,Rs 620.00
Goldi Chicken Sausages Supreme 500g,"Rs 1,160.00"
Eh I/C Fruit & Nut 1L,Rs 850.00
Eh I/C Fruit & Nut 2L,"Rs 1,650.00"
Krest Fish Chinese Rolls 300g,Rs 450.00
Keells Roti Paratha Plain 330G 5S,Rs 250.00
Premero Fine Dining Atta Paratha Garlic 6S,Rs 590.00
Eh I/C Strawberry Tub 80ml,Rs 80.00
Crescent Chicken Cottage Pie 240g,Rs 720.00
Eh I/C Wonder Cone Faluda 120ml,Rs 160.00
Eh I/C Chocolate Tub 80ml,Rs 80.00
Eh I/C Fruit & Nut Tub 80ml,Rs 100.00
Crescent Chicken Nugget 25 Pcs,Rs 640.00
Crescent Spicy Chicken Slices 150g,Rs 495.00
Magic I/C Mixed Berry Cone 120ml,Rs 144.00 / Unit
Magic I/C Fantastick Vanilla 75ml,Rs 140.00
Eh I/C Diwul Vanilla 2 Bar 60ml,Rs 50.00
Goldi Chicken Meatballs 500g,Rs 748.00 / Unit
Finagle Paratha 5 Pcs 275g,Rs 624.00 / Unit
Crescent Mini Mutton Roll 400g,"Rs 1,334.00 / Unit"
Crescent Chicken Samosa 360g,Rs 890.00
Keells Green Peas 250g,Rs 400.00
Magic I/C Fruit & Nut Cone 120ml,Rs 180.00
Krest Sausages Party Platter 500g,"Rs 1,490.00"
Eh I/C Pineapple & Chilli 900ml,Rs 790.00
Eh I/C Hakuru Mix 900ml,Rs 700.00
Eh I/C Karuthakolumban 900ml,Rs 790.00
Eh I/C Vanilla Lite 320ml,Rs 390.00
Eh I/C Choco Lite 320ml,Rs 390.00
Imorich I/C Peanut Butter Cone 180ml,Rs 180.00
Emborg Straight Cut French Fries 1kg,"Rs 2,050.00"
Emborg Onion Rings 450g,"Rs 1,850.00"
Alerics I/C Strawberry Cheesecake 1L,"Rs 1,500.00"
Frenchys Chicken Fries 250g,Rs 620.00
Keells Garlic Bread 220g,Rs 418.00 / Unit
Keells Puff Pastry Sheets 400g,Rs 489.00 / Unit
Crescent Chicken Mini Burgers 200g,Rs 535.00
Highland I/C Vanilla 1L,Rs 620.00
Crescent Chicken Golden Drummers 5S 250G,Rs 755.00
Elephant House Beef Sausages 300g,"Rs 1,205.00"
Krest Chicken Sausages Skinless 150g,Rs 390.00
Imorich I/C Cookie Cream 1L,"Rs 1,100.00"
Elephant House Chicken Sausages Bratwurst 200g,"Rs 1,450.00"
Elephant House Pork Sausages Sensation 250g,"Rs 1,450.00"
Pizza Oven Pita Pocket 320g,Rs 720.00
Krest Chicken Mini Kieves 240g,Rs 750.00
Finagle Roti Paratha 600g,Rs 720.00
Finagle Koththu Roti 750g,Rs 650.00
Golden Star Green Peas 500g,Rs 795.00
Bairaha Chicken Sausages Bockwurst 300g,Rs 660.00
Krest Chicken Mini Kieves 500g,"Rs 1,810.00"
Crescent Chicken Fingers 12 Pcs,Rs 607.00 / Unit
Crescent Chicken Ham Slices 150g,Rs 630.00
Crescent Crispy Chicken Bacon 150g,Rs 615.00
Bairaha Chicken Meat Balls 200g,Rs 380.00
Eh I/C Wonder Cone Chocolate 120ml,Rs 160.00
Imorich I/C Choc Choc Chip 1L,"Rs 1,190.00"
Elephant House Back Bacon - 150g,"Rs 1,390.00"
Elephant House Chicken Sausages 150g,Rs 880.00
Elephant House Pork Sausages 300g,"Rs 1,190.00"
Elephant House Pawkies 300g,"Rs 1,440.00"
Elephant House Pork Lingus 300g,"Rs 1,420.00"
Elephant House Chicken Sausages 300g,"Rs 1,300.00"
Keells Chapathi 10 Pieces 350g,Rs 485.00
Keells Arabic Bread 500G 5S,Rs 506.00
Gills Fish Sausages Skin On 200g,Rs 513.00 / Unit
Imorich I/C Cookie Cream Cone 120ml,Rs 180.00
Magic Ice Cream Fantastick Chocolate 75ml,Rs 140.00
Imorich I/C Black Forest Cone 120ml,Rs 180.00
Keells Soy Ice Cream Vanilla 500Ml,Rs 875.00
Keells Soy Ice Cream Chocolate 500Ml,Rs 940.00
Krest Sausage Chicken Cheesy Blast 175G,Rs 690.00
Keells Fish Patties 10 Pieces 280g,Rs 590.00
Bairaha Chicken Sausage Cheese & Onion 150G,Rs 430.00
Crescent Chicken Kochchi Bite 14 Pieces,Rs 690.00
Elephant House Bacon Whopper Pork Sausages 320g,"Rs 1,400.00"
Eh I/C Dbl Delight Choco+Vanila 1L,Rs 650.00
Krest French Fries 500g,"Rs 1,215.00"
Fresh Harvest Tuna Cubes 500g,"Rs 4,540.00"
Krest French Fries 225g,Rs 560.00
Keells Tube Ice 1kg,Rs 243.00
Eh I/C Wonder Cone Vanilla 120ml,Rs 150.00
Krest Chicken Meatballs 200g,Rs 390.00
Finagle Pol Roti 4S 310G,Rs 420.00
Milma Instant Shawarma 350G 8 Pieces,Rs 640.00
Keells Fish Bun 320G 10 Pieces,Rs 673.00
Premero Fine Dining Atta Paratha Onion 6S,Rs 590.00
Crescent Chicken Mini Kievs 12 Pcs,Rs 693.00 / Unit
Krest Chicken Chinese Rolls 300g,Rs 459.00 / Unit
Krest Chicken Drumsticks 300g,Rs 920.00
Krest Fish Fingers 250g,Rs 700.00
Finest Pork Back Bacon 500g,"Rs 2,900.00"
Finest Chicken Sausages Cheese & Onion 250g,Rs 690.00
Farm Fresh French Fries 500g,"Rs 1,310.00"
Goldi Chicken Sausages Supreme 250g,Rs 640.00
Goldi Chicken Lingus 500g,"Rs 1,220.00"
Sams Chicken Sausages 200g,Rs 590.00
Sams Chicken & Cheese Sausage 200g,Rs 710.00
Magic Ice Cream Chocolate Cone 120ml,Rs 160.00
Magic Ice Cream Heavenly Crunch Cone 120ml,Rs 180.00
Pizza Oven Party Pizza Chicken 12S 240g,"Rs 1,161.00 / Unit"
Pizza Oven Party Pizza Cheese 12S 230g,"Rs 1,190.00"
Eh I/C Wonder Bar Chocolate 70ml,Rs 100.00
Kotmale Cheese Mozzarella Block 200g,"Rs 1,050.00"
Crescent Chicken Meat Balls 200g,Rs 375.00
Bairaha Chicken Slices 150g,Rs 360.00 / Unit
Bairaha Chicken Sausages 300g,Rs 560.00 / Unit
Prima Treats Chicken Bacon 165g,Rs 655.00
Crescent Potato Kievs 20S 500g,"Rs 1,315.00"
Crescent Chickn Kochchi Bites 30 Pcs,"Rs 1,336.00 / Unit"
Crescent Mini Fish Cutlets 25S 500g,Rs 912.00 / Unit
Magic Ice Cream Vanilla Tub 1L,Rs 416.00 / Unit
Magic Ice Cream Vanilla Chocolate Mix Tub 1L,Rs 620.00
Magic Ice Cream Butterscotch With Nougat 1L,Rs 680.00 / Unit
Magic Ice Cream Chocolate Tub 1L,Rs 570.00
Pizza Oven Mini Pizza Base 5 Pieces 180G,Rs 540.00
Eh I/C Chocolate 2L,"Rs 1,180.00"
Eh I/C Strawberry 1L,Rs 600.00
Eh I/C Vanilla 2L,"Rs 1,080.00"
Eh I/C Vanilla 4L,"Rs 1,870.00"
Krest Chicken Meatballs 500g,Rs 900.00
Crescent Vegetable Samosa 360G 8Ps,Rs 579.00 / Unit
Sams Chicken Sausages 500g,Rs 960.00 / Unit
Crescent Chicken Dumplings 300g,Rs 905.00 / Unit
Fresh Harvest Prawns Cleaned Medium 500g,"Rs 3,451.00 / Unit"
Finagle Puff Pastry 400g,Rs 586.00 / Unit
Keells Spring Roll Chicken 12S 350g,Rs 820.00
Keells Spring Roll Vegetable 12S 350g,Rs 730.00
Kotmale Cheese Mozzarella Block 500g,"Rs 2,500.00"
Bairaha Chicken Kuruma Breast 300g,Rs 595.00 / Unit
Bairaha Chicken Whole Leg Marinated 1kg,"Rs 1,870.00 / Unit"
Krest Chicken Sausages Cheese &Onion 250G,Rs 785.00
Krest Chicken Sausages Garlic 250g,Rs 795.00
Tyj Samosa Wrappers 30S 170g,Rs 900.00
Krest Chicken Sausages Skinless 500g,"Rs 1,150.00"
Tyj Spring Roll Pastry Sheets 40S,"Rs 1,839.00"
