Product Name,Price
Papaya,Rs 120.00
Banana - Seeni,Rs 120.00
Banana - Kolikuttu,Rs 320.00
Banana - Ambul,Rs 110.00
Mandarin Imported,"Rs 2,220.00"
Avocado,Rs 450.00
Pineapple,Rs 509.00
Apple - Green,"Rs 2,310.00"
Jagro Strawberries Sun Grown 125g,Rs 600.00
Orange Imported,"Rs 2,390.00"
Apple - Red Royal Gala,"Rs 2,130.00"
Apple - Fuji,"Rs 2,390.00"
Orange - Local,Rs 690.00
Melon - Red Fantasy,Rs 160.00
Jagro Strawberries Sun Grown 250g,"Rs 1,230.00"
Mango - Bud,Rs 320.00
Banana - Ambun,Rs 360.00
Grapes - Red,"Rs 2,970.00"
Pomegranate (Delum),"Rs 2,940.00"
Pears - Yellow,"Rs 3,150.00"
Mango - Tjc,"Rs 1,250.00"
Guava,Rs 630.00
Beli,Rs 500.00
Grapes - Black,"Rs 3,810.00"
Khalas Premium Dates 250g,Rs 650.00
Khalas Premium Dates 500g,"Rs 1,100.00"
Al-Madina Seedless Dates 500g,Rs 930.00
Al-Madina Cashew Dates 270g,"Rs 1,000.00"
Al-Madina Almond Dates 270g,"Rs 1,100.00"
Organic Pineapple,Rs 680.00
Jambola,Rs 290.00
Katu Anoda,Rs 720.00
Kiwi Fruits,"Rs 3,400.00"
Apple - Red,"Rs 2,460.00"
Mandarin - Local (Jama Naran),Rs 740.00
Melon - Dark Bell,Rs 160.00
Jagro Strawberry Fields 250g,"Rs 1,250.00"
Mangosteen,"Rs 2,310.00"
Melon - Cantaloupe,Rs 620.00
Berry Much Fresh Strawberry 125g,Rs 730.00
Berry Much Fresh Strawberry 250g,"Rs 1,350.00"
Organic Melon - Dark Bell,Rs 230.00
Organic Melon - Red Fantasy,Rs 230.00
Organic Papaya,Rs 250.00
Banana - Cavendish,Rs 240.00
Banana - Cic Quality,Rs 450.00
Durian,Rs 850.00
Dole Cavendish Sixes Pack,Rs 880.00
Rambutan,Rs 990.00
Dragon Fruit ( Pitaya ),"Rs 1,990.00"
Organic Mango Tjc,"Rs 2,340.00"
Passion Fruit,Rs 990.00
Pears - Local,"Rs 3,990.00"
Apple - Yellow,"Rs 2,230.00"
Pears - Green,"Rs 2,220.00"
Mandarin - (Honey) Small,"Rs 1,290.00"
Woodapple,Rs 980.00
Mango - K/C,Rs 990.00
Delum (Local),"Rs 1,290.00"
Mango - Vilad,Rs 920.00
Plums,"Rs 3,200.00"
Huejay Cape Gooseberry 180g,Rs 580.00
Berry Much Fresh Blackberry 125g,"Rs 1,650.00"
Rose Apple ( Jumbu ),Rs 490.00
Al-Madina Chocolate Covered Dates With Almonds 250g,"Rs 1,160.00"
