Product Name,Price
Rice Red Kekulu Bulk Kg - Local,Rs 215.00
Rice Samba Bulk Kg - Local,Rs 240.00
Keells White Sugar 1kg,Rs 297.00
Rice White Kekulu Bulk Kg - Local,Rs 217.00
Mysoore Dhal Bulk kg,Rs 259.00
White Sugar Bulk kg,Rs 220.00
Maggi Noodles Curry 73g,Rs 130.00
Keells Wheat Flour 1kg,Rs 220.00
Rice Supiri Keeri Samba Bulk kg,Rs 260.00
Samaposha 4Gb Choxy Grain Bar 20g,Rs 40.00
Nel Farm Brown Eggs Extra Large 10S,Rs 498.50
Brown Sugar Bulk kg,Rs 254.00
Red Kekulu Samba Bulk Kg - Local,Rs 240.00
Happy Hen Brown Eggs Large 10S,Rs 491.00
Catch Mackerel 425g,Rs 630.00
Wheat Flour Bulk kg,Rs 159.00
Munchee Savoury Nut Biscuit 30g,Rs 50.00
White Kekulu Samba Bulk Kg - Local,Rs 240.00
Maliban Cream Cracker 190g,Rs 200.00
Cic Fragrant Red Rice Low Gi 48 1kg,Rs 590.00
Lanka Soy Soya Meat Curry 90g,Rs 130.00
Keells Chilli Pieces 100g,Rs 160.00
Elephant Papadam 60g,Rs 165.00
Munchee Chocolate Chip Cookies 100g,Rs 240.00
Star Gold Brown Sugar 1kg,Rs 380.00
Green Gram Bulk kg,Rs 760.00
Samaayu Kolakanda Welpenela 50g,Rs 150.00
Harischandra Plain Noodles 400g,Rs 270.00
Cic Red Basmathi Rice Bulk kg,Rs 499.00
Harischandra Papadam 70g,Rs 140.00
Maliban Gingernut Biscuits 80g,Rs 120.00
Samaayu Kolakenda Hathawariya 50g,Rs 150.00
Keells Turmeric Powder 100g,Rs 450.00
Bcc White Coconut Oil Bottle 1L,"Rs 1,975.00"
Chupa Chups Lollipop Classic 11g,Rs 40.00
Maliban Real Temptation Coffee Biscuit 90g,Rs 300.00
Happy Hen Brown Eggs Medium 10S,Rs 440.00
Chickpeas (Gram) Bulk kg,Rs 390.00
Maliban Bran Cracker 210g,Rs 290.00
Lanka Soy Malu Cuttlefish 90g,Rs 140.00
Maliban Cream Cracker 125g,Rs 140.00
Maliban Chocolate Cream Biscuits 400g,Rs 450.00
Keells Chickpeas 500g,Rs 295.00
Keells Maldive Fish 100g,Rs 455.00
Keells Cinnamon Sticks 25g,Rs 229.00
Keells Mustard Seeds 100g,Rs 95.00
Cic Kuruluthuda Rice 1kg,Rs 520.00
Keells Chilli Powder 250g,Rs 400.00
Maliban Lemon Puff 100g,Rs 110.00 / Unit
Scan Jumbo Peanut 35g,Rs 150.00
Keells Red Dhal 500g,Rs 165.00
Lanka Soy Soya Meat Chicken 90g,Rs 140.00
Maggi Noodles Chicken New 73g,Rs 115.00
Finagle Sandwich Bread 500g,Rs 495.00
Motha Jelly Strawberry 100g,Rs 230.00
Maalu Maalu Jack Mackerel 425g,Rs 560.00
Dumindu Table Salt 400g,Rs 135.00
Maliban Less Sugar Chocolate Cream Biscuit 100G,Rs 150.00
Keells Chicken Flavoured Soup 60G,Rs 226.00
Mccurrie Crushed Chilli 100g,Rs 263.00 / Unit
Maliban Gold Marie Biscuit 350g,Rs 330.00
Keells Pepper Powder 100g,Rs 395.00
Keells Chilli Powder 100g,Rs 160.00
Munchee Ginger Biscuit 85g,Rs 120.00
Cic Red Suduru Rice 1kg,Rs 570.00
Harischandra Noodles 400g,Rs 280.00
Maggi Coconut Milk Powder 300g,"Rs 1,280.00"
Munchee Super Cream Cracker 190g,Rs 200.00
Imported Basmati Rice Bulk kg,Rs 770.00
Keells Coconut Milk Powder 300g,"Rs 1,080.00"
Cic Sudu Suduru Rice 1kg,Rs 630.00
Kist Tomato Sauce 395g,Rs 367.00 / Unit
Kelloggs Moon & Stars K'pack 20g,Rs 70.00
Maliban Chocolate Cream Biscuit 100g,Rs 130.00
Arunalu Dry Fish Katta 200g,Rs 990.00
Maliban Cream Cracker 490g,Rs 480.00
Kellogg's Chocos Duet 21g,Rs 70.00
Keells Red Dhal 1kg,Rs 324.00
Prima Kottu Mee Noodles Hot & Spicy 80g,Rs 130.00
Mccurrie Fenugreek 100g,Rs 148.00 / Unit
Happydent White Gum Mint 10.2g,Rs 75.00
Catch Cut Mushroom 425g,Rs 850.00
Lanka Soy Soya Meat Regular 90g,Rs 120.00
Maliban Gold Marie Biscuit 80g,Rs 90.00
Keells Vanilla Wafers 100g,Rs 107.00 / Unit
Tiara Okay Sponge Layer Cake Chocolate 18G,Rs 40.00
Keells Coconut Oil 1L,"Rs 1,485.00"
Keells Mushroom Flavoured Soup 60G,Rs 226.00
Prima Toppz Creamy Chicken Noodle 87g,Rs 175.00
Alli Papadam Special 60g,Rs 130.00
Munchee Chocolate Wafer Sticks 20g,Rs 40.00
Keells Rice Basmathi 1Kg (5U),Rs 690.00
Daawat Rice White Basmathi 1Kg (5U),"Rs 1,758.00"
Keells Gram Dhall 500g,Rs 270.00
Arunalu Dry Fish Sprats Head On 200G,Rs 750.00
Keells Cumin Seeds 100g,Rs 375.00
Renuka Coconut Milk Powder Sachet 25g,Rs 110.00
Keells Red Cowpea 500g,Rs 945.00
Oateo Jumbo Rolled Oats 500g,Rs 900.00
Cic White Slender Rice Low Gi 41 1kg,Rs 590.00
Maliban Checkers Coffee Cookies 90g,Rs 130.00
Krest Soya Meat Curry 90g,Rs 160.00
Supreme Sprats Ready To Cook 100g,Rs 525.00
Cic Kaluheenati Red Raw Rice 1kg,Rs 630.00
Keells Semolina 500g,Rs 375.00
Keells Toor Dhal 500g,Rs 800.00
Munchee Milk Short Cake Biscuit 200g,Rs 230.00
Cic Red Suduru Rice 1Kg (5U),Rs 560.00
Cic Sudu Suduru Rice 1Kg (5U),Rs 620.00
Catch Coriander 100g,Rs 170.00
Chupa Chups Lollipop Gum 14g,Rs 50.00
Lays Classic Salted 48g,Rs 275.00
Keells Quinoa Seeds 100g,Rs 490.00
Uswatte Chirpy Chips Hot & Spicy 73g,Rs 300.00
Mentos Marble Chewy Candy 19.8g,Rs 50.00
Rancrisp Potato Chips Bbq 60g,Rs 330.00
Daintee Clairs Toffee Orange 43g,Rs 110.00
Catch Turmeric Powder 50g,Rs 320.00
Maliban Snackers Spicy Biscuit 25g,Rs 50.00
Kandos Orange Chococolate 27g,Rs 80.00
Little Lion Madeira Cake 300g,Rs 580.00
Rancrisp Potato Chips Cheese & Onion 60g,Rs 330.00
