Product Name,Final Price,Original Price,Discount
Flora Facial Tissue Box 2Ply 160S,Rs 427.00 / Unit,Rs 475.00,10%
Keells Garbage Bags Medium 10S,Rs 330.00,,
Flora Facial Tissue Box 2Ply 200S,Rs 517.00 / Unit,Rs 575.00,10%
Vim Dishwash Liquid Lime 500ml,Rs 318.00 / Unit,Rs 425.00,25%
Flora Kitchen Towels 2Ply 2S,Rs 625.00 / Unit,Rs 695.00,10%
Keells Garbage Bags Large 10S,Rs 490.00,,
Mortein Flying Insect Killer Lemon 400ml,"Rs 1,350.00",,
Keells Garbage Bags Small 10S,Rs 200.00,,
Flora Paper Servittes 1Ply 100S,Rs 355.00 / Unit,Rs 395.00,10%
Lysol Citrus 500ml,Rs 400.00 / Unit,Rs 500.00,20%
Vim Dishwash Bar Lime 100g,Rs 70.00,,
Mortein Vaporiser Refill 60 Nights 45Ml,Rs 575.00,,
Amritha Joss Sticks 4 In 1 20S,Rs 150.00,,
Lifebuoy Hand Wash Kitchen Fresh Refill 180ml,Rs 280.00 / Unit,Rs 330.00,15%
Kick Citronella Oil Spray 500ml,Rs 820.00,,
Sunlight Detergent Powder Clean & Fresh 400G,Rs 170.00,,
Bic Shaving Foam Fresh 100ml,Rs 525.00,,
Signal Toothpaste Strong Teeth 200g,Rs 340.00,,
Vim Liquid Refill 450ml,Rs 299.00,,
Godrej Aer Pocket Lemon Tangy 10g,Rs 320.00,,
