Product Name,Price
Bairaha Whole Chicken,"Rs 1,090.00"
Chicken Liver,Rs 840.00
Chicken Full Breast Skinless,"Rs 1,540.00"
Chicken Thigh Skin On,Rs 990.00
Bairaha Whole Chicken Skinless,"Rs 1,240.00"
Chicken Thigh Skinless,"Rs 1,590.00"
Cic Half Chicken,"Rs 1,150.00"
Chicken Whole Legs Skin On,"Rs 1,290.00"
Chicken Winglets,"Rs 1,200.00"
Chicken Wings,Rs 890.00
Elephant House Mutton Cubes 250g,"Rs 1,125.00"
Beef Cubes,"Rs 3,130.00"
Cic Whole Chicken With Giblet,"Rs 1,150.00"
New Anthonys Whole Chicken Skin On,"Rs 1,090.00"
New Anthony's Pre Cut Chicken S/L,"Rs 1,395.00"
Chicken Whole Legs Skinless,"Rs 1,510.00"
Cic Skin Less Whole Chicken,"Rs 1,250.00"
Chicken Drumsticks Skin On,"Rs 1,190.00"
Chicken Gizzard,Rs 940.00
Chicken Neck,Rs 680.00
Aust. Lamb Leg,"Rs 4,990.00"
Local Mutton For Curry,"Rs 4,500.00"
Mutton Leg Local,"Rs 5,590.00"
Bone In Curry Pork,"Rs 2,100.00"
Pork Knuckle,"Rs 1,900.00"
Pork Shoulder (Loin),"Rs 2,500.00"
Aust. Mutton Cubes,"Rs 5,290.00"
Aust. Mutton Leg Boneless,"Rs 4,990.00"
Pork For Roasting,"Rs 3,190.00"
Bairaha Half Chicken,"Rs 1,090.00"
Aust. Lamb Leg Boneless,"Rs 6,290.00"
Pork Leg Bone In,"Rs 2,750.00"
Curry Pork Rind On Boneless,"Rs 2,710.00"
Chicken Drumsticks Skinless,"Rs 1,540.00"
Bbq Spare Ribs Sheet,"Rs 3,480.00"
Pussalla Cottage Pork Ham,"Rs 5,500.00"
Pussalla Honey Glazed Pork Ham,"Rs 5,740.00"
Pussalla Pork Bologna Ham,"Rs 3,610.00"
Pussalla Chicken Bologna Ham (Mortadella),"Rs 4,500.00"
Pussalla Chicken Paprika Bologna Ham,"Rs 4,570.00"
Pussalla Bier Pork Ham,"Rs 4,550.00"
New Anthonys Pre Cut Whole Chicken,"Rs 1,270.00"
Chicken Breast Meat Boneless,"Rs 1,990.00"
Pork Cubes Boneless,"Rs 2,590.00"
Bairaha Pre Cut Chicken Skinless,"Rs 1,350.00"
Bairaha Pre Cut Whole Chicken S/On,"Rs 1,250.00"
Crysbro Whole Chicken Skin On,"Rs 1,150.00"
Crysbro Whole Chicken Skinless,"Rs 1,150.00"
Casa Di Sapori Salami Pepperoni- 80g,"Rs 1,980.00"
Pork Fillet,"Rs 3,280.00"
Pork Chops,"Rs 2,600.00"
Aust. Beef Topside,"Rs 6,650.00"
Beef Fillet,"Rs 4,620.00"
Beef Topside Premium,"Rs 3,200.00"
Pork Belly (Boneless),"Rs 2,830.00"
Eh Pork Belly,"Rs 2,830.00"
Minced Pork,"Rs 3,300.00"
Casa Di Sapori Cooked Ham - 100g,"Rs 1,740.00"
Casa Di Sapori Smoked Salami - 100g,"Rs 2,580.00"
Casa Di Sapori Mortadella - 100g,"Rs 1,870.00"
Eh Roasted Pork Knucle,"Rs 3,750.00"
Bairaha Family Pack 250g,Rs 290.00
Turkey (Local),"Rs 3,000.00"
Turkey Rosted  (Local),"Rs 5,500.00"
Argal Chorizo Pamplona 80g,"Rs 1,785.00"
Argal Jamon Serrano 100g,"Rs 2,135.00"
Argal Chorizo Sarta Forte 200g,"Rs 3,485.00"
Argal Chorizo Iberico 75g,"Rs 1,965.00"
Argal Salchichon Iberico 75g,"Rs 1,965.00"
Argal Trio Espanol 150g,"Rs 3,785.00"
Argal Salchicon Regio 100g,"Rs 2,165.00"
Wuber Frankfurter Smoked 200G,"Rs 3,620.00"
Wuber Sausage Jumbo 300G,"Rs 4,780.00"
Wuber Sausage Servelade 200G,"Rs 3,620.00"
Buon Appetito Salami Pepperoni 80g,"Rs 2,480.00"
Casa Di Sapori Salami Milano - 100g,"Rs 2,370.00"
Pork Paprika Mortadella,"Rs 4,200.00"
Pork Salami,"Rs 3,350.00"
Roasted Pork With Stuffing,"Rs 6,200.00"
Chicken Mortadella,"Rs 3,480.00"
Buon Appetito Parma Ham Beretta 70g,"Rs 3,180.00"
Buon Appetito Procuitto Crudo Beretta 70,"Rs 2,670.00"
Buon Appetito Speck Beretta 80g,"Rs 2,480.00"
Buon Appetito Salami Milano Beretta 120g,"Rs 2,980.00"
Buon Appetito Salami Napoli Beretta 120g,"Rs 3,680.00"
Buon Appetito Coppa Beretta 120g,"Rs 3,780.00"
Buon Appetito Smoked Bacon Beretta 100g,"Rs 3,280.00"
Nelna Whole Chicken,Rs 990.00
