Product Name,Price
Scan Jumbo Peanut 35g,Rs 150.00
Lays Classic Salted 48g,Rs 275.00
Rancrisp Potato Chips Bbq 60g,Rs 330.00
Mr. Pop Spicy Net 30g,Rs 68.00 / Unit
Rancrisp Potato Chips Cheese & Onion 60g,Rs 330.00
Tong Garden Coated Peanuts Bbq Flv 45g,Rs 365.00
Uswatte Tipi Tip Green Onion 10g,Rs 60.00
Uswatte Chirpy Chips Hot & Spicy 73g,Rs 300.00
Kettle Studio Mature Cheddar & Red Onions 56G,Rs 380.00
Munchee Kome Bites Sweet Masala Flavour 15g,Rs 50.00
Munchee Kome Bites Savory Onion Flavour 15g,Rs 50.00
Munchee Kome Bites Flaming Bbq Flv 15g,Rs 50.00
Munchee Kome Bites Hot Chili Flavour 15g,Rs 50.00
Tong Garden Sunflower Seeds Salted 30g,Rs 295.00
Rancrisp Potato Chips Hot & Spicy 60g,Rs 330.00
Rancrisp Cassava Chips Hot & Spicy 100g,Rs 300.00
Keells Cheese Snacks 50g,Rs 179.00
Mr.Pop Classic 10g,Rs 42.00 / Unit
Uswatte Tipi Tip Onion Stars 50G+5g,Rs 200.00
Cbl Ramba Tetos Tomato 20g,Rs 85.00
Keells Pistachios Roasted & Salted 100g,"Rs 1,225.00"
Munchee Kome Rice Crackers Bbq 90g,Rs 240.00
Munchee Kome Rice Crackers Cheese Chillie 90G,Rs 240.00
Noas Hot Bites 150g,Rs 520.00
Noas Devilled Mixture 200g,Rs 450.00
Black & Gold Devilled Peanuts 100g,Rs 315.00
Black & Gold Salted Dhal 100g,Rs 195.00
M.C.M. Chillie Pakada 250g,"Rs 1,005.00"
Mr.Pop Onion Rings 25g,Rs 68.00 / Unit
Mr. Pop Potato Cracker 50g,Rs 331.00 / Unit
Tong Garden Coated Peanuts Chicken 45g,Rs 365.00
Smak Cassava Chips Barbecue 100g,Rs 325.00
4700Bc Salted Butter Classic Popcorn 30g,Rs 360.00 / Unit
Tetos-Savoury Tomato 60g,Rs 225.00
Tetos-Savoury Bbq 60g,Rs 225.00
4700Bc Microwave Popcorn Cheese 94g,Rs 660.00
Nature's Love Dried Apricot 100g,"Rs 1,049.00"
Sandul Raum Bite 100g,Rs 234.00 / Unit
Tong Garden Party Snack 40g,Rs 365.00
Doritos Nacho Cheese 50g,Rs 350.00
Scan Cassava Chips Hot & Spicy 50g,Rs 170.00
Keells Krest Jumbo Peanuts Salted 100g,Rs 400.00
Kettle Studio Sharp Jalapeno & Cream Cheese 56G,Rs 323.00 / Unit
Uswatte Chirpy Chips Hot & Spicy 50g,Rs 200.00
Uswatte Chirpy Chips Salted 73g,Rs 300.00
Uswatte Chirpy Chips Cheese & Onion 50g,Rs 200.00
Uswatte Chirpy Chips Cheese & Onion 73g,Rs 300.00
Bayara Snacks Cashews Salted 30G,Rs 297.00 / Unit
Taali Protein Puffs Smoky Barbeque 60g,Rs 493.00 / Unit
Kettle Studio Classic Kettle Style Wafers Fiery Hot 56G,Rs 380.00
Scan Cassava Chips Hot & Spicy 100g,Rs 280.00
Miaow Miaow Cheese Flavoured Rings 50g,Rs 590.00
4700Bc Premium Butter Popcorn 50g,Rs 562.00 / Unit
Noas Cassava Chips Sea Salt 100g,Rs 310.00
Keells Krest Jumbo Peanuts Rstd Hny 100g,Rs 410.00
Mc Party Spicy Cocktail Mix 90g,Rs 490.00
Keells Dhal Salted 50g,Rs 85.00
Tuk Tuk Popcorn Butter Garlic 65g,Rs 200.00
Keells Peanuts Devilled 50g,Rs 140.00
Tong Garden Broad Beans Shrimp 40g,Rs 365.00
